DesignName,ParticipantID,TrialID,Block1,VV,OC,visualSearchTime,ErrorCount
Preattention-Experiment,6,271,1,Orientation,Medium,840,0
Preattention-Experiment,6,272,1,Orientation,Large,1469,0
Preattention-Experiment,6,273,1,Orientation,Large,1065,0
Preattention-Experiment,6,274,1,Orientation,Small,814,0
Preattention-Experiment,6,275,1,Orientation,Medium,928,0
Preattention-Experiment,6,276,1,Orientation,Medium,865,0
Preattention-Experiment,6,277,1,Orientation,Small,1236,0
Preattention-Experiment,6,278,1,Orientation,Large,861,0
Preattention-Experiment,6,279,1,Orientation,Large,884,0
Preattention-Experiment,6,280,1,Orientation,Large,707,0
Preattention-Experiment,6,281,1,Orientation,Medium,774,0
Preattention-Experiment,6,282,1,Orientation,Small,831,0
Preattention-Experiment,6,283,1,Orientation,Small,790,0
Preattention-Experiment,6,284,1,Orientation,Medium,1077,0
Preattention-Experiment,6,285,1,Orientation,Large,848,0
Preattention-Experiment,6,286,1,Orientation,Medium,836,0
Preattention-Experiment,6,287,1,Orientation,Small,754,0
Preattention-Experiment,6,288,1,Orientation,Small,687,0
Preattention-Experiment,6,289,2,OrientationSize,Medium,4677,0
Preattention-Experiment,6,290,2,OrientationSize,Large,4574,0
Preattention-Experiment,6,291,2,OrientationSize,Large,1623,0
Preattention-Experiment,6,292,2,OrientationSize,Small,1088,0
Preattention-Experiment,6,293,2,OrientationSize,Medium,2862,0
Preattention-Experiment,6,294,2,OrientationSize,Medium,4276,0
Preattention-Experiment,6,295,2,OrientationSize,Small,2467,0
Preattention-Experiment,6,296,2,OrientationSize,Large,3014,0
Preattention-Experiment,6,297,2,OrientationSize,Large,3252,0
Preattention-Experiment,6,298,2,OrientationSize,Large,12293,1
Preattention-Experiment,6,299,2,OrientationSize,Medium,1387,0
Preattention-Experiment,6,300,2,OrientationSize,Small,1027,0
Preattention-Experiment,6,301,2,OrientationSize,Small,4343,0
Preattention-Experiment,6,302,2,OrientationSize,Medium,2013,0
Preattention-Experiment,6,303,2,OrientationSize,Large,4032,0
Preattention-Experiment,6,304,2,OrientationSize,Medium,4284,0
Preattention-Experiment,6,305,2,OrientationSize,Small,2669,0
Preattention-Experiment,6,306,2,OrientationSize,Small,2043,0
Preattention-Experiment,6,307,3,Size,Medium,1375,0
Preattention-Experiment,6,308,3,Size,Large,2022,0
Preattention-Experiment,6,309,3,Size,Large,1390,0
Preattention-Experiment,6,310,3,Size,Small,1374,0
Preattention-Experiment,6,311,3,Size,Medium,1635,0
Preattention-Experiment,6,312,3,Size,Medium,995,0
Preattention-Experiment,6,313,3,Size,Small,1025,0
Preattention-Experiment,6,314,3,Size,Large,1353,0
Preattention-Experiment,6,315,3,Size,Large,1271,0
Preattention-Experiment,6,316,3,Size,Large,1182,0
Preattention-Experiment,6,317,3,Size,Medium,1375,0
Preattention-Experiment,6,318,3,Size,Small,1459,0
Preattention-Experiment,6,319,3,Size,Small,1132,0
Preattention-Experiment,6,320,3,Size,Medium,1139,0
Preattention-Experiment,6,321,3,Size,Large,1172,0
Preattention-Experiment,6,322,3,Size,Medium,1237,0
Preattention-Experiment,6,323,3,Size,Small,1138,0
Preattention-Experiment,6,324,3,Size,Small,1259,0
